name,team,position,projected_points
Evan Engram,JAX,TE,82.700
Brenton Strange,JAX,TE,79.500
Patrick Mahomes,KC,QB,366.600
Carson Wentz,KC,QB,72.403
Isiah Pacheco,KC,RB,139.700
Clyde Edwards-Helaire,KC,RB,78.034
Kareem Hunt,KC,RB,71.200
Rashee Rice,KC,WR,105.500
Xavier Worthy,KC,WR,151.000
Hollywood Brown,KC,WR,46.881
Justin Watson,KC,WR,28.546
Travis Kelce,KC,TE,106.500
Noah Gray,KC,TE,64.500
Justin Herbert,LAC,QB,333.500
Easton Stick,LAC,QB,70.764
Gus Edwards,LAC,RB,110.146
J.K. Dobbins,LAC,RB,97.100
Kimani Vidal,LAC,RB,55.796
Ladd McConkey,LAC,WR,158.500
Quentin Johnston,LAC,WR,76.800
Joshua Palmer,LAC,WR,48.047
Derius Davis,LAC,WR,27.428
Will Dissly,LAC,TE,64.200
Hayden Hurst,LAC,TE,41.714
Matthew Stafford,LAR,QB,292.500
Jimmy Garoppolo,LAR,QB,22.100
Kyren Williams,LAR,RB,219.800
Blake Corum,LAR,RB,42.300
Ronnie Rivers,LAR,RB,59.373
Puka Nacua,LAR,WR,172.800
Cooper Kupp,LAR,WR,105.200
Demarcus Robinson,LAR,WR,26.200
Tutu Atwell,LAR,WR,59.200
Tyler Higbee,LAR,TE,61.500
Colby Parkinson,LAR,TE,19.100
Aidan O'Connell,LV,QB,24.500
Gardner Minshew,LV,QB,21.200
Zamir White,LV,RB,21.600
Alexander Mattison,LV,RB,80.588
Ameer Abdullah,LV,RB,56.956
Davante Adams,LV,WR,141.600
Jakobi Meyers,LV,WR,127.500
Tre Tucker,LV,WR,58.400
DJ Turner,LV,WR,29.230
Brock Bowers,LV,TE,144.500
Michael Mayer,LV,TE,30.100
Tua Tagovailoa,MIA,QB,291.500
Mike White,MIA,QB,71.324
De'Von Achane,MIA,RB,221.700
Raheem Mostert,MIA,RB,60.100
Jaylen Wright,MIA,RB,36.600
Tyreek Hill,MIA,WR,157.300
Jaylen Waddle,MIA,WR,129.900
Odell Beckham Jr.,MIA,WR,45.074
Braxton Berrios,MIA,WR,29.113
Jonnu Smith,MIA,TE,80.500
Durham Smythe,MIA,TE,42.009
J.J. McCarthy,MIN,QB,336.100
Sam Darnold,MIN,QB,311.500
Aaron Jones,MIN,RB,157.100
Ty Chandler,MIN,RB,26.500
Cam Akers,MIN,RB,57.590
Justin Jefferson,MIN,WR,186.900
Jordan Addison,MIN,WR,114.900
Jalen Nailor,MIN,WR,19.500
Brandon Powell,MIN,WR,27.743
T.J. Hockenson,MIN,TE,104.500
Josh Oliver,MIN,TE,20.600
Drake Maye,NE,QB,315.000
Jacoby Brissett,NE,QB,18.300
Rhamondre Stevenson,NE,RB,119.500
Antonio Gibson,NE,RB,20.500
JaMycal Hasty,NE,RB,56.367
Demario Douglas,NE,WR,61.800
Kendrick Bourne,NE,WR,73.075
Ja'Lynn Polk,NE,WR,47.677
K.J. Osborn,NE,WR,27.711
Hunter Henry,NE,TE,80.400
Austin Hooper,NE,TE,53.100
Derek Carr,NO,QB,311.705
Spencer Rattler,NO,QB,225.700
Alvin Kamara,NO,RB,173.200
Kendre Miller,NO,RB,66.100
Jamaal Williams,NO,RB,59.782
Chris Olave,NO,WR,118.400
Rashid Shaheed,NO,WR,100.100
A.T. Perry,NO,WR,48.079
Cedrick Wilson Jr.,NO,WR,29.399
Juwan Johnson,NO,TE,79.600
Foster Moreau,NO,TE,31.500
Daniel Jones,NYG,QB,243.000
Drew Lock,NYG,QB,73.097
Devin Singletary,NYG,RB,57.800
Tyrone Tracy Jr.,NYG,RB,149.200
Eric Gray,NYG,RB,58.282
Malik Nabers,NYG,WR,168.300
Wan'Dale Robinson,NYG,WR,58.900
Darius Slayton,NYG,WR,70.200
Jalin Hyatt,NYG,WR,23.600
Theo Johnson,NYG,TE,69.400
Daniel Bellinger,NYG,TE,22.200
Aaron Rodgers,NYJ,QB,284.800
Tyrod Taylor,NYJ,QB,24.100
Breece Hall,NYJ,RB,177.400
Braelon Allen,NYJ,RB,81.000
Isaiah Davis,NYJ,RB,14.700
Garrett Wilson,NYJ,WR,147.500
Mike Williams,NYJ,WR,71.838
Allen Lazard,NYJ,WR,37.100
Malachi Corley,NYJ,WR,27.709
Tyler Conklin,NYJ,TE,42.700
