name,team,position,sport,projected_points
Brandon Nimmo,TEX,OF,MLB,422.250
Jack Leiter,TEX,SP,MLB,422.000
Brayan Bello,BOS,SP,MLB,420.850
Christian Yelich,MIL,OF,MLB,420.750
Seth Lugo,KC,SP,MLB,420.600
Mason Miller,SD,RP,MLB,419.950
Corey Seager,TEX,SS,MLB,419.250
Nico Hoerner,CHC,2B,MLB,419.250
Dansby Swanson,CHC,SS,MLB,416.500
Ezequiel Tovar,COL,SS,MLB,416.250
Jurickson Profar,ATL,OF,MLB,416.250
Michael Busch,CHC,1B,MLB,416.000
Eury Perez,MIA,SP,MLB,415.750
Edward Cabrera,CHC,SP,MLB,415.650
Trey Yesavage,TOR,SP,MLB,414.000
Cade Smith,CLE,RP,MLB,413.200
Chase Burns,CIN,SP,MLB,412.650
Kris Bubic,KC,SP,MLB,412.300
Tyler Soderstrom,ATH,1B,MLB,411.250
Tatsuya Imai,HOU,SP,MLB,410.250
Bryan Reynolds,PIT,OF,MLB,410.000
Andy Pages,LAD,OF,MLB,409.750
Teoscar Hernandez,LAD,OF,MLB,409.750
Jakob Marsee,MIA,OF,MLB,409.500
Clay Holmes,NYM,SP,MLB,408.150
Trevor Story,BOS,SS,MLB,407.500
Michael Harris II,ATL,OF,MLB,406.500
Lawrence Butler,ATH,OF,MLB,405.000
Jo Adell,LAA,OF,MLB,404.750
Oneil Cruz,PIT,OF,MLB,403.500
Hunter Goodman,COL,C,MLB,403.000
Bryson Stott,PHI,2B,MLB,402.750
Reid Detmers,LAA,RP,MLB,402.150
Ozzie Albies,ATL,2B,MLB,401.750
Jameson Taillon,CHC,SP,MLB,400.850
Trevor Rogers,BAL,SP,MLB,399.950
Shea Langeliers,ATH,C,MLB,399.500
Bryce Miller,SEA,SP,MLB,398.950
Heliot Ramos,SF,OF,MLB,397.250
Masyn Winn,STL,SS,MLB,397.250
Noah Cameron,KC,SP,MLB,396.400
Alec Burleson,STL,1B,MLB,395.500
Shane McClanahan,TB,SP,MLB,395.350
Marcus Semien,NYM,2B,MLB,395.250
Jhoan Duran,PHI,RP,MLB,394.400
Casey Mize,DET,SP,MLB,393.550
Slade Cecconi,CLE,SP,MLB,393.100
Ceddanne Rafaela,BOS,2B,MLB,393.000
Ben Rice,NYY,C,MLB,392.750
Kyle Stowers,MIA,OF,MLB,390.250
Jacob Wilson,ATH,SS,MLB,390.000
Bubba Chandler,PIT,SP,MLB,389.750
Munetaka Murakami,CWS,1B,MLB,389.500
Luke Keaschall,MIN,2B,MLB,389.000
Luis Arraez,SF,1B,MLB,387.500
Adolis Garcia,PHI,OF,MLB,387.250
Willson Contreras,BOS,1B,MLB,386.250
Xavier Edwards,MIA,2B,MLB,385.750
Joey Cantillo,CLE,SP,MLB,385.500
Devin Williams,NYM,RP,MLB,385.450
Salvador Perez,KC,C,MLB,384.750
Dylan Crews,WSH,OF,MLB,384.000
Zach Eflin,BAL,SP,MLB,383.150
Miguel Vargas,CWS,1B,MLB,382.000
Ivan Herrera,STL,C,MLB,381.250
Luis Robert Jr.,NYM,OF,MLB,381.250
Reynaldo Lopez,ATL,SP,MLB,381.200
Xander Bogaerts,SD,SS,MLB,380.500
Brenton Doyle,COL,OF,MLB,380.250
David Bednar,NYY,RP,MLB,380.000
Andres Munoz,SEA,RP,MLB,379.300
Nolan Schanuel,LAA,1B,MLB,378.750
Matthew Liberatore,STL,SP,MLB,378.600
Dustin May,STL,SP,MLB,378.400
Daulton Varsho,TOR,OF,MLB,377.500
Christian Walker,HOU,1B,MLB,376.500
Aroldis Chapman,BOS,RP,MLB,375.250
Jonathan Aranda,TB,1B,MLB,374.250
Josh Hader,HOU,RP,MLB,373.850
Adley Rutschman,BAL,C,MLB,373.750
Kazuma Okamoto,TOR,1B,MLB,372.750
Sean Manaea,NYM,SP,MLB,372.600
Jung Hoo Lee,SF,OF,MLB,372.250
TJ Friedl,CIN,OF,MLB,372.250
Kyle Manzardo,CLE,1B,MLB,372.000
Alec Bohm,PHI,1B,MLB,371.500
Otto Lopez,MIA,2B,MLB,371.500
Chad Patrick,MIL,SP,MLB,370.700
Dean Kremer,BAL,SP,MLB,370.500
Kyle Freeland,COL,SP,MLB,369.450
Braxton Ashcraft,PIT,SP,MLB,367.950
Nick Martinez,TB,SP,MLB,367.650
Marcell Ozuna,PIT,DH,MLB,367.500
Daylen Lile,WSH,OF,MLB,366.750
Cam Schlittler,NYY,SP,MLB,366.500
Gerrit Cole,NYY,SP,MLB,366.000
Cristian Javier,HOU,SP,MLB,365.250
Brandon Lowe,PIT,2B,MLB,365.000
Michael McGreevy,STL,SP,MLB,364.900
Trent Grisham,NYY,OF,MLB,364.750
Will Smith,LAD,C,MLB,364.750
Mike Trout,LAA,OF,MLB,364.250
Mike Burrows,HOU,SP,MLB,362.450
Wilyer Abreu,BOS,OF,MLB,361.750
Davis Martin,CWS,SP,MLB,361.250
Justin Verlander,DET,SP,MLB,360.400
Taj Bradley,MIN,SP,MLB,357.800
Caleb Durbin,BOS,2B,MLB,357.750
Drake Baldwin,ATL,C,MLB,357.750
Jorge Polanco,NYM,2B,MLB,357.000
Adrian Houser,SF,SP,MLB,356.750
Cade Horton,CHC,SP,MLB,356.500
Jake Burger,TEX,1B,MLB,356.500
Matt McLain,CIN,2B,MLB,356.250
Jacob Lopez,ATH,SP,MLB,356.150
Sean Burke,CWS,SP,MLB,355.900
Jose Berrios,TOR,SP,MLB,355.800
Noelvi Marte,CIN,3B,MLB,355.750
Luis Garcia,WSH,2B,MLB,355.250
Eduardo Rodriguez,ARI,SP,MLB,354.850
Josh Bell,MIN,1B,MLB,354.750
J.P. Crawford,SEA,SS,MLB,354.500
Carlos Correa,HOU,3B,MLB,352.750
Ernie Clement,TOR,1B,MLB,352.500
Jordan Beck,COL,OF,MLB,352.250
Brendan Donovan,SEA,2B,MLB,351.000
Agustin Ramirez,MIA,C,MLB,350.500
Andres Gimenez,TOR,2B,MLB,350.500
Zebby Matthews,MIN,SP,MLB,349.750
Andrew Vaughn,MIL,1B,MLB,349.500
Colson Montgomery,CWS,3B,MLB,349.250
Jake Cronenworth,SD,1B,MLB,349.250
Daniel Palencia,CHC,RP,MLB,349.200
Foster Griffin,WSH,RP,MLB,348.200
Sal Frelick,MIL,OF,MLB,347.250
Cade Cavalli,WSH,SP,MLB,346.000
Ramon Laureano,SD,OF,MLB,346.000
Andre Pallante,STL,SP,MLB,345.850
Mickey Moniak,COL,OF,MLB,343.750
Nolan Arenado,ARI,3B,MLB,343.750
Ryan Weathers,NYY,SP,MLB,343.750
Braxton Garrett,MIA,SP,MLB,343.600
Will Warren,NYY,SP,MLB,343.350
Colton Cowser,BAL,OF,MLB,343.250
Tyler Mahle,SF,SP,MLB,343.200
Raisel Iglesias,ATL,RP,MLB,342.900
Kerry Carpenter,DET,OF,MLB,342.500
Willi Castro,COL,2B,MLB,342.000
Isaac Paredes,HOU,3B,MLB,341.500
Royce Lewis,MIN,3B,MLB,341.000
Lars Nootbaar,STL,OF,MLB,340.750
Simeon Woods Richardson,MIN,SP,MLB,340.000
Yainer Diaz,HOU,C,MLB,340.000
Carlos Estevez,KC,RP,MLB,339.700
Ryan Helsley,BAL,RP,MLB,338.500
Jeff McNeil,ATH,2B,MLB,338.250
