name,team,position,sport,projected_points
Cody Bradford,TEX,SP,MLB,176.450
Tanner Banks,PHI,RP,MLB,176.150
Kody Clemens,MIN,1B,MLB,175.000
Brock Burke,CIN,RP,MLB,174.450
Justin Slaten,BOS,RP,MLB,173.400
Paul Blackburn,NYY,SP,MLB,173.200
Angel Zerpa,MIL,RP,MLB,173.150
Tyler Alexander,TEX,SP,MLB,172.750
Ryne Stanek,STL,RP,MLB,172.250
Jonny DeLuca,TB,OF,MLB,171.750
Jordan Romano,LAA,RP,MLB,171.450
David Morgan,SD,RP,MLB,170.500
Joey Loperfido,HOU,OF,MLB,170.250
Jason Adam,SD,RP,MLB,170.050
Joey Bart,PIT,C,MLB,170.000
Liam Hicks,MIA,C,MLB,170.000
Vaughn Grissom,LAA,2B,MLB,170.000
Hoby Milner,CHC,RP,MLB,169.800
Ben Joyce,LAA,RP,MLB,169.550
Mason Englert,TB,RP,MLB,169.500
Sung-Mun Song,SD,2B,MLB,169.500
Julian Fernandez,WSH,RP,MLB,169.300
Yennier Cano,BAL,RP,MLB,168.050
Matt Festa,CLE,RP,MLB,167.950
Joel Peguero,SF,RP,MLB,167.550
Enyel De Los Santos,HOU,RP,MLB,167.200
Michael Kelly,ATH,RP,MLB,166.950
Scott Barlow,ATH,RP,MLB,166.600
J.T. Ginn,ATH,SP,MLB,166.550
Nick Mears,KC,RP,MLB,166.350
Emerson Hancock,SEA,SP,MLB,165.900
Tyrone Taylor,NYM,OF,MLB,165.250
Ryan Yarbrough,NYY,SP,MLB,165.150
Blaze Alexander,BAL,2B,MLB,164.750
Anthony Banda,MIN,RP,MLB,164.600
Kade Strowd,ARI,RP,MLB,164.450
Tommy Nance,TOR,RP,MLB,164.150
Ezequiel Duran,TEX,1B,MLB,164.000
Tim Hill,NYY,RP,MLB,163.850
Andrew Nardi,MIA,RP,MLB,163.400
Drey Jameson,ARI,RP,MLB,163.250
Ben Brown,CHC,SP,MLB,163.000
Luke Raley,SEA,1B,MLB,162.750
Brandon Eisert,CWS,SP,MLB,162.500
Angel Martinez,CLE,2B,MLB,162.250
Justin Lawrence,PIT,RP,MLB,162.200
Bailey Falter,KC,SP,MLB,162.050
Brendon Little,TOR,RP,MLB,161.950
Payton Tolle,BOS,SP,MLB,161.950
Javier Assad,CHC,SP,MLB,161.800
Wandy Peralta,SD,RP,MLB,161.650
Grant Anderson,MIL,RP,MLB,161.000
Alexis Diaz,TEX,RP,MLB,160.350
Dietrich Enns,BAL,SP,MLB,159.950
Luis Campusano,SD,C,MLB,159.750
Troy Johnston,COL,1B,MLB,159.750
Henry Davis,PIT,C,MLB,159.500
Nick Fortes,TB,C,MLB,159.500
Cade Gibson,MIA,RP,MLB,158.950
Brent Suter,LAA,SP,MLB,158.700
Jake Bird,NYY,RP,MLB,158.650
Thomas Saggese,STL,2B,MLB,157.500
Caleb Ferguson,CIN,RP,MLB,157.250
Connelly Early,BOS,SP,MLB,156.700
Jordan Hicks,CWS,SP,MLB,156.400
Braydon Fisher,TOR,RP,MLB,156.050
Jack Dreyer,LAD,SP,MLB,155.800
Colby Thomas,ATH,OF,MLB,155.750
Miguel Amaya,CHC,C,MLB,155.500
Luis Garcia,NYM,RP,MLB,155.150
Kyle Higashioka,TEX,C,MLB,155.000
Jasson Dominguez,NYY,OF,MLB,154.750
Brant Hurter,DET,SP,MLB,154.550
Will Benson,CIN,OF,MLB,154.250
Trevor McDonald,SF,SP,MLB,154.050
Bennett Sousa,HOU,RP,MLB,153.900
Ramon Urias,STL,2B,MLB,153.750
Yuki Matsui,SD,RP,MLB,153.500
Harry Ford,WSH,C,MLB,153.000
Jackson Rutledge,WSH,SP,MLB,152.950
Eric Orze,MIN,RP,MLB,152.900
Andres Chaparro,WSH,1B,MLB,152.750
Keider Montero,DET,SP,MLB,152.600
Jose Tena,WSH,2B,MLB,152.500
Brenan Hanifee,DET,RP,MLB,152.050
Ben Casparius,LAD,SP,MLB,151.950
Tyler Austin,CHC,1B,MLB,151.500
Edmundo Sosa,PHI,2B,MLB,151.250
Gordon Graceffo,STL,RP,MLB,151.250
Jovani Moran,BOS,RP,MLB,151.200
Daniel Lynch,KC,RP,MLB,150.800
Jonathan Bowlan,PHI,RP,MLB,150.750
Travis Adams,MIN,SP,MLB,150.500
Connor Phillips,CIN,RP,MLB,150.450
Tim Herrin,CLE,RP,MLB,150.450
Yohan Ramirez,PIT,RP,MLB,149.800
Otto Kemp,PHI,1B,MLB,149.500
Hayden Birdsong,SF,SP,MLB,149.350
Brennan Bernardino,COL,SP,MLB,149.250
Zack Kelly,BOS,SP,MLB,149.250
Taylor Clarke,ARI,RP,MLB,149.000
Jhostynxon Garcia,PIT,OF,MLB,148.500
Huascar Brazoban,NYM,SP,MLB,148.400
Javier Sanoja,MIA,2B,MLB,148.000
Rob Refsnyder,SEA,OF,MLB,147.500
Connor Prielipp,MIN,SP,MLB,146.950
Jacob Webb,CHC,RP,MLB,146.700
Carlos Vargas,SEA,RP,MLB,146.450
Mitchell Parker,WSH,SP,MLB,146.350
Matt Vierling,DET,OF,MLB,146.000
DL Hall,MIL,SP,MLB,143.850
Joel Payamps,ATL,RP,MLB,143.850
Ryan Bergert,KC,SP,MLB,142.850
David Hamilton,MIL,2B,MLB,142.500
Justin Wrobleski,LAD,RP,MLB,142.350
Casey Legumina,SEA,RP,MLB,142.300
Lake Bachar,MIA,RP,MLB,141.900
Antonio Senzatela,COL,SP,MLB,141.550
Jose Fermin,LAA,RP,MLB,141.300
Porter Hodge,CHC,RP,MLB,141.250
Dane Myers,CIN,OF,MLB,141.000
Jose Trevino,CIN,C,MLB,141.000
Rico Garcia,BAL,RP,MLB,140.800
Cole Sulser,TB,RP,MLB,140.400
Ian Hamilton,ATL,RP,MLB,140.300
Jose Fermin,STL,2B,MLB,140.250
Jeremiah Jackson,BAL,3B,MLB,139.750
Yoendrys Gomez,TB,SP,MLB,139.600
Griff McGarry,WSH,SP,MLB,139.500
Justin Bruihl,STL,RP,MLB,139.400
Matt Gage,SF,RP,MLB,139.400
Kyle Karros,COL,3B,MLB,139.250
Amed Rosario,NYY,2B,MLB,138.750
Casey Schmitt,SF,1B,MLB,138.500
Robert Hassell III,WSH,OF,MLB,138.000
Jaden Hill,COL,RP,MLB,137.850
Sam Haggerty,TEX,OF,MLB,137.500
Masataka Yoshida,BOS,OF,MLB,137.000
David Fry,CLE,DH,MLB,136.500
Nate Pearson,HOU,RP,MLB,136.150
Hunter Feduccia,TB,C,MLB,136.000
Jordan Montgomery,TEX,SP,MLB,136.000
Matt Pushard,STL,RP,MLB,135.950
Steven Wilson,TB,RP,MLB,135.250
Blake Perkins,MIL,OF,MLB,134.000
Brent Headrick,NYY,RP,MLB,133.950
Chase Silseth,LAA,RP,MLB,133.350
Alex Lange,KC,RP,MLB,133.100
Connor Brogdon,CLE,RP,MLB,132.550
Brusdar Graterol,LAD,RP,MLB,132.450
Will Klein,LAD,RP,MLB,132.400
Joey Wentz,ATL,SP,MLB,131.800
Ryan Gusto,MIA,SP,MLB,131.650
Sam Hentges,SF,RP,MLB,131.450
Josh White,MIA,RP,MLB,130.900
Joe Mack,MIA,C,MLB,130.750
Daniel Schneemann,CLE,2B,MLB,130.250
James Outman,MIN,OF,MLB,129.750
Ryan Watson,BOS,SP,MLB,129.700
Evan Sisk,PIT,RP,MLB,129.500
Ryan Ritter,COL,2B,MLB,128.250
Rob Zastryzny,MIL,RP,MLB,127.950
Tanner Gordon,COL,SP,MLB,127.850
Connor Wong,BOS,C,MLB,127.500
Brandyn Garcia,ARI,RP,MLB,127.350
Braxton Fulford,COL,C,MLB,126.250
Brady Basso,ATH,RP,MLB,125.500
Ryan Mountcastle,BAL,1B,MLB,124.750
Ryan Fernandez,STL,RP,MLB,124.600
Luis Torrens,NYM,C,MLB,124.500
Roddery Munoz,HOU,RP,MLB,124.450
Jason Alexander,HOU,SP,MLB,124.100
Dalton Rushing,LAD,C,MLB,124.000
Kevin Kelly,TB,RP,MLB,123.900
Eduarniel Nunez,ATH,RP,MLB,123.750
JT Brubaker,SF,RP,MLB,123.450
Justyn-Henry Malloy,TB,OF,MLB,123.000
Everson Pereira,CWS,OF,MLB,122.500
Triston Casas,BOS,1B,MLB,122.500
Cooper Criswell,SEA,RP,MLB,121.850
Jordan Wicks,CHC,SP,MLB,121.250
Richard Lovelady,WSH,RP,MLB,120.750
Zach Maxwell,CIN,RP,MLB,120.050
Tyler Ferguson,ATH,RP,MLB,119.250
RJ Petit,COL,RP,MLB,119.100
Carter Baumler,TEX,SP,MLB,118.750
Peyton Pallette,CLE,RP,MLB,118.500
Travis d'Arnaud,LAA,C,MLB,118.500
Drew Thorpe,CWS,SP,MLB,118.350
Blaine Crim,COL,1B,MLB,118.000
Bryce Teodosio,LAA,OF,MLB,118.000
Tyler Locklear,ARI,1B,MLB,118.000
Abimelec Ortiz,WSH,1B,MLB,117.500
John King,MIA,RP,MLB,117.350
Mason Fluharty,TOR,RP,MLB,117.200
Wikelman Gonzalez,CWS,SP,MLB,116.950
Hunter Bigge,TB,RP,MLB,116.800
Adrian Del Castillo,ARI,C,MLB,116.250
AJ Blubaugh,HOU,SP,MLB,115.900
Richie Palacios,TB,OF,MLB,115.750
Zach Agnos,COL,RP,MLB,114.800
Steven Cruz,KC,RP,MLB,114.650
Dylan Dodd,ATL,RP,MLB,114.550
Gus Varland,WSH,RP,MLB,114.500
Beau Brieske,DET,RP,MLB,114.350
Kyle Nicolas,PIT,RP,MLB,114.000
George Soriano,STL,RP,MLB,113.750
Bryan Hudson,NYM,RP,MLB,113.500
Miguel Rojas,LAD,2B,MLB,113.250
Andy Ibanez,ATH,2B,MLB,112.750
Oswald Peraza,LAA,1B,MLB,112.500
Zach McCambley,PHI,SP,MLB,112.050
Cody Freeman,TEX,2B,MLB,111.750
Brandon Williamson,CIN,SP,MLB,111.550
Ben Williamson,TB,3B,MLB,111.500
Jake Rogers,DET,C,MLB,111.250
Zach Pop,PHI,RP,MLB,111.150
Isiah Kiner-Falefa,BOS,2B,MLB,110.750
Johnathan Rodriguez,CLE,OF,MLB,110.500
Paxton Schultz,WSH,RP,MLB,110.500
Bradgley Rodriguez,SD,RP,MLB,110.300
Ron Marinaccio,SD,RP,MLB,110.200
Colin Holderman,CLE,RP,MLB,109.950
Alan Roden,MIN,OF,MLB,109.500
Hyeseong Kim,LAD,2B,MLB,108.500
Darell Hernaiz,ATH,2B,MLB,108.250
Colton Gordon,HOU,SP,MLB,107.850
Zack Gelof,ATH,2B,MLB,107.500
Austin Warren,NYM,RP,MLB,107.400
Johan Rojas,PHI,OF,MLB,107.000
Tim Tawa,ARI,1B,MLB,107.000
Brock Stewart,LAD,RP,MLB,106.500
Troy Taylor,SEA,RP,MLB,106.150
Nathan Church,STL,OF,MLB,105.500
Myles Straw,TOR,OF,MLB,104.500
Alex Call,LAD,OF,MLB,104.250
Drew Gilbert,SF,OF,MLB,104.000
Yaramil Hiraldo,BAL,RP,MLB,103.800
Coby Mayo,BAL,1B,MLB,103.750
Sam Moll,CIN,RP,MLB,103.750
Daysbel Hernandez,ATL,RP,MLB,103.700
James McCann,ARI,C,MLB,103.250
Andrew Hoffmann,ARI,RP,MLB,103.200
Craig Yoho,MIL,RP,MLB,102.800
Edgardo Henriquez,LAD,RP,MLB,102.800
Chase Petty,CIN,SP,MLB,102.700
John Klein,MIN,SP,MLB,102.550
Andre Granillo,WSH,RP,MLB,102.200
Christian Scott,NYM,SP,MLB,101.550
Grant Wolfram,BAL,RP,MLB,101.550
Hayden Harris,ATL,RP,MLB,101.300
Ethan Roberts,CHC,RP,MLB,101.150
